HR,SpO2
124.0,97.0
123.0,97.0
124.0,97.0
124.0,97.0
123.0,97.0
124.0,97.0
123.0,97.0
123.0,97.0
124.0,97.0
124.0,97.0
114.0,97.0
114.0,97.0
114.0,97.0
111.0,97.0
105.0,97.0
106.0,97.0
114.0,97.0
114.0,97.0
114.0,98.0
114.0,98.0
124.0,98.0
123.0,98.0
114.0,98.0
114.0,98.0
114.0,98.0
115.0,98.0
87.0,95.0
84.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
92.0,95.0
87.0,95.0
90.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
90.0,95.0
85.0,95.0
89.0,95.0
89.0,95.0
89.0,96.0
95.0,95.0
90.0,95.0
90.0,95.0
87.0,95.0
87.0,95.0
92.0,94.0
91.0,94.0
91.0,94.0
89.0,94.0
86.0,94.0
96.0,94.0
91.0,94.0
91.0,94.0
85.0,94.0
92.0,94.0
96.0,94.0
91.0,94.0
88.0,94.0
86.0,94.0
96.0,95.0
91.0,95.0
91.0,95.0
85.0,95.0
93.0,95.0
96.0,95.0
91.0,95.0
88.0,95.0
86.0,95.0
96.0,95.0
91.0,95.0
91.0,95.0
85.0,95.0
92.0,95.0
96.0,95.0
91.0,95.0
90.0,95.0
85.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
89.0,94.0
84.0,94.0
88.0,94.0
88.0,94.0
91.0,94.0
94.0,94.0
89.0,94.0
89.0,94.0
89.0,94.0
87.0,94.0
89.0,94.0
89.0,94.0
89.0,94.0
89.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
87.0,96.0
87.0,96.0
94.0,96.0
89.0,96.0
89.0,96.0
87.0,96.0
92.0,96.0
89.0,96.0
89.0,96.0
87.0,96.0
84.0,96.0
89.0,96.0
89.0,96.0
94.0,96.0
87.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
95.0,96.0
95.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
91.0,95.0
88.0,95.0
84.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
89.0,94.0
87.0,94.0
88.0,94.0
89.0,94.0
89.0,94.0
91.0,94.0
89.0,94.0
90.0,94.0
89.0,94.0
89.0,94.0
95.0,95.0
91.0,95.0
90.0,95.0
85.0,95.0
92.0,95.0
90.0,95.0
90.0,95.0
88.0,95.0
85.0,95.0
92.0,95.0
90.0,95.0
90.0,95.0
88.0,94.0
89.0,94.0
90.0,94.0
90.0,94.0
92.0,94.0
89.0,94.0
89.0,94.0
92.0,94.0
95.0,95.0
90.0,95.0
89.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
92.0,95.0
91.0,95.0
91.0,95.0
87.0,95.0
92.0,95.0
90.0,96.0
90.0,96.0
90.0,96.0
85.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
92.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
92.0,95.0
91.0,95.0
90.0,95.0
85.0,95.0
89.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
84.0,95.0
91.0,95.0
89.0,96.0
89.0,96.0
91.0,96.0
91.0,96.0
95.0,96.0
90.0,96.0
90.0,96.0
91.0,96.0
88.0,96.0
90.0,96.0
90.0,96.0
88.0,96.0
95.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
87.0,96.0
87.0,96.0
95.0,96.0
90.0,96.0
90.0,96.0
91.0,96.0
90.0,96.0
90.0,95.0
91.0,95.0
90.0,95.0
90.0,95.0
91.0,95.0
90.0,95.0
90.0,95.0
96.0,95.0
91.0,95.0
91.0,95.0
86.0,96.0
92.0,96.0
91.0,96.0
91.0,95.0
89.0,95.0
91.0,95.0
90.0,95.0
93.0,95.0
93.0,95.0
86.0,95.0
86.0,95.0
90.0,95.0
91.0,95.0
91.0,95.0
91.0,94.0
91.0,94.0
91.0,94.0
91.0,94.0
91.0,94.0
91.0,94.0
94.0,94.0
92.0,94.0
91.0,94.0
89.0,94.0
88.0,94.0
92.0,94.0
91.0,94.0
88.0,94.0
93.0,94.0
97.0,94.0
92.0,94.0
92.0,94.0
86.0,94.0
93.0,94.0
91.0,94.0
91.0,94.0
89.0,95.0
85.0,95.0
90.0,95.0
91.0,95.0
90.0,95.0
90.0,95.0
90.0,95.0
96.0,96.0
91.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,95.0
90.0,95.0
90.0,95.0
85.0,95.0
89.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
89.0,95.0
89.0,95.0
90.0,95.0
95.0,95.0
90.0,95.0
90.0,95.0
90.0,95.0
90.0,95.0
96.0,95.0
90.0,95.0
88.0,94.0
89.0,94.0
90.0,94.0
96.0,94.0
91.0,94.0
88.0,94.0
85.0,94.0
89.0,94.0
90.0,94.0
90.0,94.0
87.0,94.0
84.0,94.0
91.0,94.0
90.0,95.0
90.0,95.0
90.0,95.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,94.0
90.0,95.0
90.0,95.0
90.0,95.0
88.0,95.0
85.0,95.0
92.0,95.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
92.0,96.0
96.0,97.0
90.0,97.0
90.0,97.0
90.0,98.0
92.0,98.0
90.0,98.0
90.0,98.0
94.0,98.0
85.0,97.0
90.0,97.0
90.0,97.0
90.0,97.0
92.0,96.0
90.0,96.0
87.0,96.0
85.0,96.0
90.0,96.0
92.0,96.0
91.0,96.0
91.0,96.0
88.0,96.0
90.0,96.0
91.0,96.0
90.0,96.0
90.0,96.0
86.0,96.0
92.0,96.0
91.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
96.0,96.0
96.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
93.0,96.0
92.0,96.0
91.0,96.0
86.0,96.0
86.0,96.0
97.0,96.0
91.0,96.0
91.0,96.0
86.0,96.0
90.0,96.0
93.0,96.0
91.0,96.0
88.0,96.0
87.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
93.0,96.0
89.0,96.0
91.0,96.0
94.0,96.0
87.0,95.0
91.0,95.0
91.0,95.0
97.0,95.0
90.0,95.0
92.0,95.0
92.0,95.0
87.0,95.0
91.0,95.0
92.0,96.0
89.0,96.0
88.0,96.0
92.0,97.0
92.0,97.0
91.0,98.0
94.0,99.0
94.0,99.0
92.0,99.0
92.0,99.0
89.0,99.0
89.0,99.0
97.0,98.0
91.0,98.0
91.0,97.0
86.0,97.0
93.0,96.0
91.0,96.0
91.0,96.0
88.0,96.0
86.0,96.0
90.0,96.0
90.0,96.0
88.0,96.0
87.0,96.0
95.0,96.0
91.0,96.0
90.0,96.0
88.0,96.0
93.0,96.0
92.0,96.0
91.0,96.0
86.0,96.0
93.0,96.0
96.0,96.0
91.0,96.0
92.0,97.0
86.0,97.0
93.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,97.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
96.0,96.0
91.0,96.0
91.0,96.0
90.0,97.0
90.0,97.0
96.0,97.0
91.0,97.0
91.0,96.0
90.0,96.0
93.0,96.0
96.0,96.0
91.0,96.0
89.0,96.0
90.0,96.0
91.0,96.0
93.0,96.0
96.0,96.0
89.0,96.0
90.0,96.0
91.0,96.0
97.0,96.0
92.0,96.0
92.0,96.0
86.0,96.0
93.0,96.0
98.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
91.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
,96.0
,96.0
,96.0
,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
87.0,96.0
88.0,96.0
88.0,96.0
88.0,96.0
89.0,96.0
89.0,96.0
90.0,96.0
90.0,96.0
90.0,96.0
89.0,96.0
89.0,96.0
88.0,96.0
87.0,96.0
87.0,96.0
86.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
85.0,96.0
