HR,SpO2,Timestamp
79,93,2025-01-13 00:00:00
74,98,2025-01-13 00:01:00
85,96,2025-01-13 00:02:00
78,89,2025-01-13 00:03:00
74,94,2025-01-13 00:04:00
74,97,2025-01-13 00:05:00
101,94,2025-01-13 00:06:00
75,95,2025-01-13 00:07:00
65,93,2025-01-13 00:08:00
70,95,2025-01-13 00:09:00
70,96,2025-01-13 00:10:00
85,94,2025-01-13 00:11:00
86,95,2025-01-13 00:12:00
60,97,2025-01-13 00:13:00
73,97,2025-01-13 00:14:00
56,96,2025-01-13 00:15:00
72,95,2025-01-13 00:16:00
54,95,2025-01-13 00:17:00
69,97,2025-01-13 00:18:00
67,95,2025-01-13 00:19:00
73,94,2025-01-13 00:20:00
74,96,2025-01-13 00:21:00
83,95,2025-01-13 00:22:00
79,98,2025-01-13 00:23:00
84,96,2025-01-13 00:24:00
58,99,2025-01-13 00:25:00
80,94,2025-01-13 00:26:00
68,92,2025-01-13 00:27:00
69,94,2025-01-13 00:28:00
96,95,2025-01-13 00:29:00
80,91,2025-01-13 00:30:00
78,94,2025-01-13 00:31:00
50,99,2025-01-13 00:32:00
77,93,2025-01-13 00:33:00
87,93,2025-01-13 00:34:00
69,94,2025-01-13 00:35:00
87,92,2025-01-13 00:36:00
61,96,2025-01-13 00:37:00
83,95,2025-01-13 00:38:00
86,96,2025-01-13 00:39:00
84,95,2025-01-13 00:40:00
59,97,2025-01-13 00:41:00
91,94,2025-01-13 00:42:00
66,95,2025-01-13 00:43:00
69,96,2025-01-13 00:44:00
83,93,2025-01-13 00:45:00
84,93,2025-01-13 00:46:00
81,93,2025-01-13 00:47:00
67,95,2025-01-13 00:48:00
73,95,2025-01-13 00:49:00
80,95,2025-01-13 00:50:00
76,95,2025-01-13 00:51:00
86,92,2025-01-13 00:52:00
57,97,2025-01-13 00:53:00
73,89,2025-01-13 00:54:00
86,93,2025-01-13 00:55:00
82,91,2025-01-13 00:56:00
75,96,2025-01-13 00:57:00
78,93,2025-01-13 00:58:00
76,92,2025-01-13 00:59:00
62,99,2025-01-13 01:00:00
75,96,2025-01-13 01:01:00
86,92,2025-01-13 01:02:00
70,96,2025-01-13 01:03:00
71,93,2025-01-13 01:04:00
83,97,2025-01-13 01:05:00
67,96,2025-01-13 01:06:00
81,97,2025-01-13 01:07:00
74,92,2025-01-13 01:08:00
79,98,2025-01-13 01:09:00
73,93,2025-01-13 01:10:00
79,96,2025-01-13 01:11:00
67,97,2025-01-13 01:12:00
80,93,2025-01-13 01:13:00
62,91,2025-01-13 01:14:00
59,95,2025-01-13 01:15:00
73,94,2025-01-13 01:16:00
81,93,2025-01-13 01:17:00
74,92,2025-01-13 01:18:00
